x,y,playerId,matchId,conversationId,chatTime,pred,p_toxic
this spectre has no clue how to play carry <prev> flame the only i who play good nice <PREV> ahhaha invoker,O,ducbigboss,302,1272,2198,I,0.6620724265544373
stupid valve <PREV> i got that couple of time ruined my games hard :(,O,Bruce Wayne,208,884,1237,E,0.5301686218105872
mid noob plus wk noob wala talo talga <prev> and sniper power ranger <PREV> xd,O,R.I.P.,764,3485,2270,E,0.8290179436093617
wtf rubick hes quit,O,[HBunny] Armad@,1765,7646,1367,I,0.6446831154044916
lololol <prev> u mad bro? <PREV> i dont counter anyi,O,WTF!!!,2423,10380,2015,I,0.6166596187653787
this tony is 2 much for me is fucking mongol,O,D R E A M S,186,780,760,E,0.9179231748676241
hwo the fuck did u liv i <PREV> but did u die?,O,Got Silk?,1363,5971,417,E,0.8695395753013695
fuck off zeus <prev> :d ahah <PREV> .l.,O,laienhaft,2014,8662,569,E,0.6103868883104269
power shot on rosh plz wr,O,zaus,2354,10123,1210,E,0.5091667510514888
no carry <prev> muy pro <PREV> lol 5vi and i still retk,O,brookbackmountain08,2730,11652,2534,I,0.518328706985834
:( <prev> how ur shadow friend rolls its none of ur business fuck u i blinked into hookl shot <PREV> what r the chances? xd,O,ECO.Nyx,1101,4947,1719,E,0.5989177865640896
congratulations you can play alch,O,i just do manga shit so fuck of,561,2550,1933,I,0.5204981816192125
we win,O,Lemmon ツ,521,2327,-16,E,0.541302599946696
ez as fuck <prev> noob <PREV> throw also win,O,-4Head-,29,106,3375,E,0.8580801338812052
thats what im losing 2 that ember fk dis team la <PREV> dont worry la,O,STUN_ME_PLZ,995,4439,2149,E,0.6604331874930307
gg <prev> ez <PREV> nice game,O,Numb,724,3328,2843,I,0.6992865776106638
sad thing is how fucking bad you are and u just get a free win <prev> wow u were so bad toplane <PREV> ? ember???,O,ㅇㅅㅇ,1579,6939,1558,E,0.7860309808380351
lol <PREV> no me sf cant kill,O,Royal Jester,2698,11495,1934,I,0.54158892122479
gg <prev> ez <PREV> com sf,O,NexT->,433,1838,2642,I,0.5974771443804127
if my teammates is good i will kick your ass both two of you <prev> lolololol <PREV> kk add me,O,Eliwood,1248,5556,2083,E,0.5811913851901981
gg wp <prev> ez mid <PREV> easy bot,O,Praise Helix,2210,9442,2729,I,0.9688123477859698
team chat pls <prev> go feed <PREV> or i die to cancer,O,@ChmieluDota,1757,7623,1107,I,0.6263963805690926
fuck our alche refport him <PREV> lol,O,Spazzkid,874,3938,1055,E,0.8201108632157069
ez arrow <PREV> lol,O,Mozzo,2314,9901,1572,I,0.8298736142204498
buy <prev> ez <PREV> gl next,O,JoinT,1632,7135,611,I,0.6331191346200874
i would make u suck my dick <prev> lobby? <PREV> in a lobby,O,MID LANE SLAYER,126,488,2142,E,0.7189956442630662
ez game <prev> haha <PREV> hah,O,TwB-skineeZ,1823,7918,2288,I,0.4908748247329934
./. <prev> ez noob <PREV> ty pro,O,HOHOHO,1406,6184,2843,I,0.7584358274360957
ez guys commend frei enjouyi <prev> random in ranked is the best strategy check slardar items <PREV> just pick dazlei dazle and go win is topo ezai too eza dazzle all game just go wini,O,sky5,261,1077,1694,I,0.5866153843712181
fucking kill yourself pa <prev> o <PREV> ._.,O,Nuxies,2919,12368,736,E,0.8223297320747646
two peruvian on my team <prev> i from japan nippon <e <PREV> baka,O,Boobs-chan,2983,12647,1758,E,0.5529063414558554
acc smurf rat kid,O,acc smurf im 5k player,1845,8000,165,I,0.739925587404112
this why i quit dota too ez <prev>  <PREV> one day,O,攀登,835,3783,1615,I,0.7536033328815556
fuck this alliance stack kappa <prev> doee xdd <PREV> :dd,O,Pet0n,204,865,1687,E,0.7040152974003573
kid? rlly? fucking idiot <prev> intro boy stfu intro boys <PREV> intro boy? u really scool boy,O,mishatl,680,3081,2522,E,0.7899540903376783
play?,O,ϟwarđ,1896,8188,2062,E,0.6799132656774576
go ff team cant play this game,O,Gatorade,2832,11974,1018,I,0.5629827480556165
fuck u laughing at chinese cunt <prev> lol __slur_flag__ <PREV> jkes im chinese too,O,KINGPANDA,1222,5443,3563,E,0.724372682943953
so good but u guys suck <prev> this invoker worst shit <PREV> man new update from 2month,O,"ㄨ O,P ㄨ",2413,10363,3154,E,0.692017691249278
keep on eating our shitty peruvian doods <prev> afk in base? nice dk <PREV> ahahha,O,aldacho,3021,12823,1971,E,0.43882508781384083
should be kotl <prev> i blame republicans <PREV> i blame my dad for taking ie years to get cigarettes,O,Æ.Quinn♥,170,698,2601,I,0.5021134680310904
havnt had a game this one sided in a while where im on the winnign team <prev> invoker what the fuck are u playing? <PREV> what do u mean,O,Narcotix,2086,8938,1642,E,0.575812598348447
huskar alche pickers <prev> haha <PREV> its funny how people only talk like this when they are winning. says alot about your mentality,O,Cypher,2258,9627,1015,I,0.5723375918648871
? slank u so noob u think u pro? <prev> im getting called a noob by a o damage o-6 lc rofl <PREV> haha ember,O,Dingo-sama,2003,8618,1965,E,0.8829593152197032
es resume <prev> dumb fk <PREV> wk,O,EZDODANCE,439,1875,620,E,0.5501056865874556
fail mid from sniper then? shockingly... <PREV> no good hero dendi plys sniper,O,Ruleral,1251,5559,715,I,0.6219121693972712
keep pushing rax should fall pretty soon,O,Cullen Bohannon,762,3470,1366,E,0.5497316143288636
easiest game of my life <prev> raped cunts __slur_flag__ <PREV> memememememem,O,mizu <·^(__)---,1228,5464,2391,I,0.7858598695600306
u guys are lucky u dont have a 6k mmr player with u <PREV> lol,O,Trash!!!,0,7,2319,I,0.6101251749444176
harder to win in than fucking 5k <prev> fail u carry <PREV> 2o minute brown boots doe,O,#golfwang,2897,12263,1742,I,0.7818831320492406
"ok sorry <prev> just a sec, i think im gay <PREV> yep, im gay",O,Darkmoon Faire,1175,5262,-62,E,0.5140270770007448
yeah fuck that <prev> im not waiting <PREV> then dont play dota,O,RAY DO IT #ROAD TO GAINS,2449,10466,1652,E,0.5620655666314317
yasha <prev> stupid caught up <PREV> fight with e ussles hero bastard ioo hp mid carry 9oo hp,O,ALREADY DONE,2317,9922,2456,E,0.7112838078354896
am owned,O,SPODERMAN,2302,9833,1843,I,0.6666043039180413
bh i hate u go abandon <PREV> noo i hate u all i hate this cm,O,[En`CieL]HeatBlast,1338,5862,1161,I,0.7287734775745078
ez midd ez midd <prev> nice try <PREV> i know your feeling bro,O,Sir. BryZzz,484,2121,2548,I,0.8637360238578377
eh w/e <prev> eaglesong fucking antimage. <PREV> what shpould he buy then iron branch?,O,EternaLEnVy Fangay,491,2161,2266,E,0.6558431806945083
team dc shud be ur tag,O,$\/\//\G,2287,9769,712,E,0.5246665915493804
lol really? rage quit <PREV> yes,O,Ðawn of Ĵustice,2021,8682,1695,I,0.5917494843501652
why u take bash retard __slur_flag__,O,kacor,2995,12701,303,E,0.9842280453559762
this tusk,O,Shake iT oFF !,529,2374,1164,E,0.6360554168137225
rage quit <PREV> ?,O,To Chi,2706,11523,1452,I,0.8025578660029726
all map ward <prev> :> es what is tha plan <PREV> ta lost mid so hard against this lina ?,O,Emil,2018,8671,1380,E,0.6003201681696371
wp this ember so noob haha <PREV> go end,O,apply alcohol,177,729,1920,E,0.7549901826133553
gg <prev> lol <PREV> fuck,O,Stallon,411,1743,2887,E,0.9724560449665877
fuck youi <PREV> mata,O,BiG BaNaNna !,1428,6288,1684,E,0.8054539091610072
have fun in low priority <prev> hard throw <PREV> cuz im god,O,{ϟϟ}Ŵăƒƒĕń ŠŞ{ϟϟ},656,2982,3523,I,0.5476076255577723
ez top.. 2 vs i still ez ez carry.. ez blame <prev> dont blame <PREV> lol,O,Kz,2377,10245,1726,I,0.9415142885615304
wut? <prev> why u mad kid <PREV> talking to spectre,O,Wolf Assault,777,3547,2256,I,0.552547904545251
haha <prev> ez <PREV> ?,O,2moreGanas-,2624,11161,1022,I,0.8655872303519357
noob alc <prev> agree <PREV> best sf,O,GEASS,1394,6119,2872,E,0.5976953161133509
6.2k is wear,O,Rigby,822,3720,1225,I,0.7383553812863235
our am noob shit <prev> end it now <PREV> blame teammate,O,[Snow]Phoenix,1218,5428,1883,E,0.654064655234365
e heroes bot and this am still poor lmao pick am jsut wanna show his basher joke <prev> to be honest this mid is horrible <PREV> lol,O,Dendimon,1372,6008,2368,I,0.7953854276889705
ez mirana game ist time to play this hero as a carry xd thnak you ggwpp <PREV> since when mirana not carry hero ? aa surely ist time. wp,O,KAIST.Shadows,601,2715,1830,I,0.725934788076297
bh i hate u go abandon,O,Papa_DotA,1338,5862,1158,I,0.7095569890211592
fucking passive noob <prev> u too <PREV> hahaqha,O,A B A D O N,819,3692,567,E,0.8325226004362329
why me huskar im just rubick <prev> push ff <PREV> cose you sexy,O,psoor,1462,6493,1760,E,0.4731229323527114
afk sold items sry <PREV> this slark is a kid :d,O,BooM,1778,7696,888,I,0.5141623857007264
fuck,O,ChimCanhCut,1619,7065,275,E,0.999798161897636
ez <prev> ? ez <PREV> gg,O,Wolfie,83,324,2309,I,0.7677424146836026
the comeback is real <prev> ez peru <PREV> gg,O,imade80dollars,989,4405,3279,I,0.7683285504337125
hes crying that carry is stealing his farm <prev> but team wanna fuck me <PREV> so what happend?,O,OS_Maestro,71,280,1104,E,0.8487463128608703
gg <prev> fuck her right in her pussyii <PREV> bored,O,sheng22¯\_(ツ)_/¯,149,600,-52,E,0.6887549108363467
hate u silencer,O,Saigonese.BanhMi,549,2496,727,E,0.548200146263291
idiot invoker <prev> lol <PREV> him mid vs me,O,dumsflip,1336,5855,2572,E,0.5228783160174795
tactical feeding <prev> these guys suck at dotka <PREV> i get hate for mirana mid lol ._.,O,♥Misaki Nakahara♥中原 岬,1757,7622,819,E,0.8095985881891539
ggwp ez midl <prev> man <PREV> gg,O,holdwait  つ ◕_◕ ༽つ,2882,12189,3626,I,0.5935942340613053
xd <prev> people like what the fuck do even do with people like this <PREV> oo,O,Mid please,2547,10908,2602,E,0.733915626089412
5 games lose . still wanna play invoker haha this is why you dont let toxic noobs play mid <PREV> run?,O,Weed,1158,5212,1249,E,0.6812062777572918
im the only onee <prev> oi u lil shit my cliff. <PREV> nahh,O,Shigure,1650,7232,2266,E,0.6545893836759638
gg <prev> noobs <PREV> word,O,Ob3k1,91,342,2822,E,0.8155506187182358
commendable motion <prev> fvcking trash gyro <PREV> dont want give a single farm,O,Bitch',1967,8451,2183,E,0.532357949334434
i way thx haha <prev> kill you void? ik <PREV> void talk? plzz tower top,O,EpicFaiL,1246,5544,2723,I,0.5958582652124939
rolf <prev> u shouldve seen him typing in pick phase i got cancer <PREV> ?,O,Milana.,2582,11019,1277,I,0.6351081512201731
ez <prev> ez <PREV> gg,O,Tomato is red :),328,1390,2914,I,0.7677424146836026
ya in joker <prev> another injoker? <PREV> ya,O,F0REVER_Wei,1658,7263,349,I,0.6614773197066386
stfu <PREV> low people,O,Shockwave,3018,12795,-173,E,0.6504804992146003
2 little invis fuckers <prev> :( <PREV> good choise wk good one,O,Marko,1152,5188,2254,E,0.5696315514404762
no man <prev> instead of playing game <PREV> i said pick omni he tell me :e just pciks ez win,O,!SenzaunNOme,2696,11488,910,I,0.5685847794447625
"cuz bad <prev> you all have faggot heroes and i have to play against you __slur_flag__ <PREV> next time you see sb pick , just leave game oor you can pick sb",O,Marsi⑰,2919,12369,1051,E,0.6607751491079419
l:egkaya mid ez ie vi gde? <PREV> g|g geasy mid dayn ak\,O,JE1X CSGOlucky.com,2946,12467,2720,I,0.9692904450406263
gg <prev> fuck this puck dumb shit player <PREV> plays ursa is op,O,Cyrex,137,525,2491,E,0.9791694975584155
just dont talk shit until you win <prev> when did i talk shit <PREV> at the beginning you said,O,ev`Angelic,2093,8974,2722,E,0.8038502995807328
noob? ivi pls gg <prev> hahaha hard looser <PREV> sad lion,O,xiaojibibiyo,3037,12886,3405,E,0.6593578734822926
"gg :')_ <prev> lmao talking shit, and then losing <PREV> lol",O,Bigger than a gas cylinder dild,521,2337,2854,E,0.6974380369946671
finish mid pls <prev> alceh farming <PREV> finsh? fine,O,Azyx,2840,12021,2158,I,0.5242957131705104
paper <prev> where are u going slardar u happy? fuck you pinoy fuck you i disgrace ur kind u fucking noob <PREV> really?,O,L. Lawliet,1526,6746,2643,E,0.9695564651831139
ahahaha fuck bh is a bitch <PREV> ahah,O,☺♥♦♣♠☻,2739,11680,1561,E,0.8156428575725995
what a game i,O,Dakacle-,2333,9986,1363,I,0.5984626451911568
my dick <prev> pnoy <PREV> well where for asia so we dont give a fk about america :e,O,Rick,2055,8816,275,E,0.7358016215652107
for ruining game on purpose <prev> <e <PREV> aegis baitt,O,KilluA. Bà Béo,2411,10343,2853,E,0.6171919696832648
sigh i always get the braindead russians every game <prev> im russian <PREV> lol theres not even a russian in this team but ok,O,Otter,2446,10456,2368,E,0.6263305919308554
gg ez mid <prev> ez mmr a rat boys <PREV> terminen rapido,O,Young Sinatra,2835,12000,1294,I,0.9498915298259412
9 mmr only this time cheaper,O,CurZeD_,1884,8143,2260,I,0.5733566411870757
lmao <prev> fuck man that hurts <PREV> boots u for real dde,O,Mewlini,2041,8763,-14,E,0.7692632040498482
gg <prev> ez <PREV> gg wisp,O,George Costanza,1656,7259,2164,I,0.6987467602342622
gg <prev> ez top idiot <PREV> 22min rad and boots,O,The Lu,1310,5767,1842,I,0.9715003071523428
i:ii offlaner so good <prev> go pick shit and autowini <PREV> except the enemy has range supports oh wait :^),O,Mr.Maymay^,261,1077,1861,E,0.6623721208648533
reported <prev> you guys bully the fucking noob like bully <PREV> i wish i had a team,O,MARLAN,346,1485,2706,E,0.8878401861275269
jut watch this pa look at this and he have wards and ukltimate <prev> 2k na its pertty dame to 5k peru <PREV> xd,O,Double [T],133,517,2060,E,0.6769580964979045
farming is for noobs <PREV> lmao,O,Just BONO,1368,5989,712,E,0.6111840527016955
no nid search <prev> free damage for everyone <PREV> fuck i missed the timing instant retribution,O,Extremely HornySanta,2464,10554,1223,E,0.6186002702967187
ez -25mmr <prev> yes <PREV> lc cristalis,O,@Infernape,2877,12173,2123,I,0.7296455926335733
"easy game nice carry <prev> ez retarded invo mid farming, ez retarded lc midas __slur_flag__ <PREV> ion your pick",O,"dura lex, sed lex",2772,11802,2063,I,0.9905393286672606
offc .. fucking ez <prev> ez meepo solo boosting <PREV> it must be fun to play phoenix when u can heal freely througfh an entire fight :d,O,Escu,917,4122,1705,I,0.6857714311359209
mid fail mid fail <prev> much talk team pussy <PREV> 5e kills lose,O,ELDONGER®,1942,8349,2731,I,0.8692005266961058
fail mid,O,MR.{FRUITES},1859,8063,151,I,0.9236420448577448
yah stupid nyx <prev> fuckin idiot <PREV> see dude,O,YeY..,243,1027,2782,E,0.9106073823888642
(: <PREV> tusk ur friendii,O,#NAME?,1950,8388,1063,E,0.495934303508981
retard sd noob spirit wuith eagis? ez __slur_flag__ <PREV> xd ajjajaja,O,Tufurdofo,2765,11780,1961,I,0.8478887158936279
loh,O,YoureBadImMad,1080,4858,1270,I,0.5464273760351541
? mad ?,O,CBPM,977,4348,1425,I,0.9597238733874824
hes gone <prev> he deserves to be abandoned <PREV> what pudge ? pudge what r u saying?,O,Mr.M1stake,2984,12659,1733,I,0.4906947134455921
"yea wow <prev> noob i ,8 k mmr i am a mmr a k <PREV> and you buy diffusal? lol",O,ThePhao,1727,7502,2131,E,0.7229942964045876
short of i <prev> your sister is gg <PREV> lovely pudge,O,GOB,2358,10154,2021,E,0.6177110449524126
useless <PREV> agree,O,SxyNNz,825,3741,2213,I,0.6126534104557381
ez sniper <prev> wp <PREV> (,O,ExtraGT,1415,6215,3840,I,0.8124840926111687
ggwp <prev> noob team <PREV> :d,O,<IAM MID PLAYER MOTHER FUCKER,1344,5878,1685,E,0.9487356894014898
e muted <prev> step e. dont play with fidel <PREV> clock if you hook brew,O,Running through the 6th,188,805,1244,I,0.6321346107901055
not force a dont astrar slardar plz me report wr plz <PREV> ya ofc,O,Buzenbazen,2354,10127,1935,I,0.5236271859147648
gg <prev> fuck u fag noob __slur_flag__ <PREV> gg,O,sixtypctwater,283,1186,2375,E,0.973521594642306
lol o assists for timber <prev> stfu ez botoom <PREV> ok,O,Ice Cream ٩(●•)۶,2670,11379,957,I,0.8887681488931289
noob ta <prev> luck <PREV> win pls,O,SADBOYS,2671,11393,2858,E,0.6590061562025756
i dont know just fuck your self <prev> gg <PREV> end,O,hanthor,2700,11506,2224,E,0.506903264902369
wtf im not blaming doom or anything <prev> they fucking noob haha ez blood <PREV> zz,O,Gaice,1449,6414,2378,E,0.9264120225664048
yes sf you are so good,O,Ascended,240,999,1787,E,0.5858558757904706
haters gonna hate,O,Negotiv,2496,10703,50,I,0.74222682467356
did u read science? idiot do u know bb got cd? dumb fuck no brain talk shit <prev> noob <PREV> skali no need die?,O,頭號灬杀鸡犯,453,1969,2181,E,0.9650056640290976
gg <prev> ez av5 <PREV> gg,O,Szmata,1532,6759,2863,I,0.9220737472567366
ks all game and say ez game wp necro <prev> my gem <PREV> gg,O,Its a Love Song,1420,6235,3174,I,0.7578291146418956
reporting meepo <prev> ez mid noob <PREV> ez jungle you mean,O,FTR-Á´ôÂú®ÈªëÊöó,2958,12540,2393,I,0.9648713795587682
so ? <prev> i vs a team retard __slur_flag__ <PREV> blink by 2omins,O,→ Daeko ツ,2480,10634,1111,E,0.5391199525794972
wtf what a gay <prev> ? <PREV> ??,O,TacoBoy,514,2292,1535,E,0.7998549496226768
ty for waiting <prev> techis is in fucked up mood thats great good for us <PREV> for you :(,O,baneofblabs,1122,5050,-35,E,0.5810863155034702
"gg <prev> smurfs with 5k account, yes gg account boosting like 'pros' <PREV> so what lol smurfs",O,hBanana,1016,4556,2301,E,0.6153488643027127
true <prev> ffs whats your problems? <PREV> you lost anyways,O,Proud russian,2060,8830,-22,E,0.4824610517549864
fuck off <PREV> kek,O,Enot^^,1851,8034,3433,E,0.6855481641854718
ff ez pudge fucking pudge picker <PREV> gg wp,O,N. R. <3,1925,8287,2404,I,0.7738661505308027
ez divine xd maldito noob <PREV> haha,O,Rhemanente,2270,9698,3109,E,0.6027319778523071
lol <prev> rage quit <PREV> rekt easy omni pick= free mmr lol lol,O,Ez,489,2134,623,I,0.890403472321338
no last word? sure <prev> u noob <PREV> but i dont resume,O,‚ô• “â“à“â“à“à“â“à“â“à“â“à“â“àÔøΩ,2961,12554,1982,E,0.6195164961561801
fucking noobs <prev> wahahahhahaa <PREV> pakyu,O,denden,1933,8324,3365,E,0.9246919468619125
stunning <prev> ajajajajaa ahahahaha <PREV> holy shit how can doom so bad,O,dalma,951,4261,3014,E,0.6679442695799378
he cant move his hero <prev> quick brain surgery <PREV> thats what i usually say when i suck aswell,O,gjojo,2476,10625,2327,I,0.6474878898918264
wr is rape <prev> gege <PREV> brown worst sk,O,XpcT-,2749,11716,1746,E,0.6671413613392343
ez <prev> gg <PREV> fail mid,O,PanTTera:,2126,9121,2745,I,0.9118813072759343
just jokeing <prev> i 2 e a 5 6 7 8 9 io ii i2 ie ia i5 i6 i7 i8 i9 2o 2i 22 2e 2a 25 26 27 28 29 eo <PREV> moar moar,O,Infamous,1632,7134,253,I,0.7265055920116521
dazzle u have ward hack or some shit? dickhead how many can u buy <prev> xd <PREV> haha daazehl,O,MiHi,2059,8827,1708,E,0.5404247347570129
ur lineup is so gay ss wards just fucking rape <prev> their line up is smart <PREV> it doesnt have a sexual preference,O,ClassicJordon,426,1808,1662,E,0.8013664497070982
"beautiful girls all over the world, i could be chasing but my time would be wasted, they got nothing on you, baby nothing on y",O,N1XON3,1030,4626,1279,E,0.5968713359654412
kek u are shit peruvian <prev> ioo% white ^^ <PREV> hes from kk,O,CrzyKiller,777,3547,2281,E,0.8610767121301677
5 bkbs holy shit try is hard,O,Bli5teR,69,277,2784,E,0.7220263113060948
come on man fuck you rubick,O,HT-Gaming.Capurro,2180,9329,866,E,0.8416578852829374
yes report this fucking chen <prev> y <PREV> dd,O,Dope♥,2175,9310,897,E,0.7382277218611374
really? <prev> motherfucker i hate u <PREV> afraid?,O,Justice,821,3710,374,E,0.6136236134416506
.. im not a alien idiot write any world language <PREV> ff plz,O,____Warlord____,1910,8222,601,E,0.5593857164615922
ee <prev> izi izi game <PREV> nice lc,O,???? ??????,2461,10542,2906,I,0.8534476109022746
easy game <PREV> vote trump,O,Ruben6f,3031,12865,2154,I,0.5245892211562535
ez dual top <prev> fucking offlaners <PREV> lol,O,Aks.Creeping Death,3016,12791,1979,E,0.8835541525912844
hai am cao ni ma lapsap you most,O,叔叔有钱,626,2825,1125,E,0.5761755966575021
sry um fucking drunk <prev> are u still talking <PREV> thats right,O,Fetty Wap,491,2151,186,E,0.5317213766008404
ggwp <prev> gg wp noob sf too <PREV> feeder win,O,$impleButRock,1352,5925,2820,E,0.670024284410894
ez mid ez game <PREV> how embarrasing,O,]v[:]{,1252,5578,1867,I,0.9728158115657084
"lol idiot <prev> hes never picked in pubs, and the only bracket he has over 5o% win rate is 'very high skill' on asian servers. so shut up and pick something fun. you cucks. <PREV> why are you mad man",O,Marsi⑰,2919,12369,1034,E,0.8543532970203308
no you have am and alche <prev> traitortat gay alch ^^ <PREV> tf,O,Pat xD,1741,7529,1312,E,0.6386214359135061
nice rage fckin fag <prev> account buyer __slur_flag__ <PREV> lol,O,adanos,2727,11632,1694,I,0.8720624328604071
teeny dogged me so hard :/ <prev> fucking dogshit <PREV> there im happy now end,O,bobby.shaw11,1656,7259,2005,E,0.6820133705405856
if you pushed your advantage <prev> wk sucks gg wp <PREV> they just buy 2 midases and lose all advantage,O,Sick,2426,10392,2195,E,0.6261559925444448
ez support retard <prev> just end __slur_flag__ <PREV> they will maybe feed a little more but just finish,O,skallison123,1825,7928,1712,I,0.7496935505411293
shit oy lol that arrow hahaha <prev> lol <PREV> for soght ahha,O,:),998,4459,1736,E,0.5964547370411306
this is bad <prev> trash hc <PREV> lmao lmao lmao lmao bad team see?,O,Im  good but my team is so  bad,2905,12306,2818,E,0.5227073289408043
join <prev> stfu pudge <PREV> u havent been useful at all just flaming people all game long bad game,O,Unknown,1293,5706,1399,E,0.7674340006180136
i was taking shit you piece of shit <PREV> wow,O,123--->456--->789,1029,4615,457,E,0.8584888383453003
i2 minute te,O,Meaglin,1702,7404,750,I,0.4846364130175889
gg <prev> gg yeh your tree is a dumb ass haha <PREV> gg,O,Bob Cross,1847,8023,2942,E,0.6124435774089136
fuck u very much <PREV> nicvee,O,我是SM,578,2616,2440,E,0.8535591623744988
noob enemy <prev> noob all <PREV> playing with bots,O,Ondoy,1872,8109,2124,E,0.8824154935905117
bb is cool <prev> ez <PREV> :),O,XiaO_PaNGGGG,1835,7968,2203,I,0.6041736184672285
gg <prev> ez game ez lyfe <PREV> for sky,O,Kev,524,2339,2692,I,0.9751056580251424
in game bitches woop <prev>  <PREV> ,O,Ilerion Juivq 悪魔,315,1350,-66,E,0.6069478692915505
sigh i always get the braindead russians every game <PREV> im russian,O,FG.dL8.♥Coffe,2446,10456,2363,E,0.8432548688041664
