x,y,playerId,matchId,conversationId,chatTime,pred,p_toxic
dont be mad ns <prev> taste so good <PREV> or wisp be in your mummys nbedroom too,E,George Costanza,1656,7259,1945,O,0.2552317287522397
so hows life <PREV> i never got to have a suckoff with lion,E,The quintuple agent,183,770,4206,O,0.2542236314262817
dont aim me later sladar <prev> hahah dont me mad its just a game hahaha <PREV> fail grammar,I,Eric Cantona,648,2932,2824,O,0.44782410939120204
wat the fk u want bone slow hand ?,E,♥DG.Dragon♥,2396,10296,944,O,0.4467039871793682
cerape <prev> cree[s creep pa hahaha <PREV> fuckiong creap wahha,E,Fuck Some bitches.(ONLYMID),2413,10362,2973,O,0.26373291224174
u must admit he ruined on purpose <prev> its karma u dont report ull get him next game <PREV> says the fucktard lion,E,shefulainen,2411,10343,2862,A,0.24388004357583537
hes trash omfg <prev> time is for playing better not play if u cant afford a good internet <PREV> report riki go enxt riki=trash,E,xX360NOSCOPE420BLAZEITXx,187,785,267,A,0.44240620338851094
very ><|| <prev> animal cancel fail <PREV> btw dude u got lucky as fuck first hit crit? u a real?,E,ECO.Nyx,1101,4942,253,O,0.48362018589550193
gg <prev> gg wp report blood end fast <PREV> team ezz,I,[You Porn],2971,12616,418,A,0.206751635879166
mlg <prev> lel <PREV> bitches,E,[QB]mohammedfbi63,1504,6658,1965,O,0.3606669616812249
stop def,E,by#,2893,12250,2172,A,0.18113983367534467
u did? sorry was unaware what exactly did u do? rotate to help mid? no grave me? <prev> you ran away from me <PREV> kids,I,StefCika,426,1808,1910,O,0.3913117184350235
lol <PREV> lol we lost already dw,I,новичок,2546,10903,986,O,0.2308425291403412
end plz rerpot bh,E,space_,432,1828,1737,O,0.3010139365964812
this sk s onoob stun always suicide suicide as idiot <prev> lol invo <PREV> this sk so cancer hahahaha,E,Bagyong ANGDREE ng 3k,2698,11496,2167,O,0.4374485044388585
they dont care... they didnt last time you said it and they still dont <prev> im dead :d <PREV> ez mid,I,MaP4EJla |,293,1233,1898,O,0.485745166977415
guys plz report brist i beg u plz report that noob guys i beg u plz i beg u report him,E,ANALFISTING,2323,9939,1062,A,0.21909345531604976
gank mid always fail <prev> hahahaha <PREV> tat ks,I,Royal Jester,2698,11496,2212,O,0.4725216669537499
gg afk russian succes mid gap,E,Duyndamn2,1448,6396,-86,A,0.35114765116758007
u passive bot <prev> jug really? <PREV> lol,I,pÖsiTiv,2284,9755,1442,O,0.3656128943816785
u r badluck brian,E,Subarashi kun (lft 4/5),2650,11321,373,O,0.2743592296642789
wow what a bullshit autoattack,E,tobias,991,4418,1278,O,0.44527039975486427
report drow pls ty <prev> gg wp <PREV> idiots,E,himuve,899,4057,2807,A,0.26808513593677985
im afraid <prev> of when u have a blinks <PREV> rq oa,I,omG|IsaDora,1501,6628,654,O,0.36883239403665474
whow\ <PREV> grammar nazi,E,The Purifier,1182,5306,510,O,0.4777675556726144
o 8 i 9,I,VaCuUm_cLeANeR,1126,5071,991,O,0.2743592296642789
wow <prev> rofl <PREV> planting mines thats fucking bullshit,E,Sir Pudgealot,1861,8074,1527,O,0.3553779449572908
"wait a bit? how its a bit like coin? <prev> please <PREV> you very bad,wk",E,MegoS,2341,10025,298,A,0.4109516754995206
ez ? <PREV> aa rapes alche,E,VALAR MORGHULIS,1173,5255,2035,O,0.47096286917496105
the feeds <prev> its okay <PREV> who said it wasnt? rq ? the rage quits the pauses,I,jaynanners,978,4353,1460,O,0.16777866906756522
when u meet us <prev> he will go low prio game <PREV> no i mean ur master hmm u are his dog,E,♥DG.Dragon♥,2396,10300,1879,O,0.4674182255327631
all report phenix chat abuse,I,be like your soul ......,2435,10422,905,A,0.03216396614966295
gg <prev> gg <PREV> oio tinker reporting me wp,I,GOD of ComPeTitive GamINg,315,1354,2582,O,0.1363389782566103
haha <prev> lel <PREV> get rekt son,E,The Seven Deadly Sins,592,2680,1704,O,0.22004651445835796
"not blamed just saying you could of adjusted <prev> who first picks pudge, ahhaha <PREV> a fucking idiot i just wanted some fun im on like a a winning streak withj pudge ggwp",E,StefCika,426,1808,1718,O,0.36309337609412107
commend pult <prev> commend kotl <PREV> noob team,E,♥{O}MFG♥™,549,2499,3081,A,0.17595285653325354
wirth? worth? werth?,I,Punch you right in the mememake,66,268,849,O,0.28267209696656964
u lost them the game necro <prev> thats like the proper ember build <PREV> ember is ruling and u sucking necro,E,Gem@,931,4190,4327,O,0.3503589075223463
gl hf <prev> ty putin vodka plz i am cisr <PREV> xaxaxaxaxaxaxaxax cyka cyka gracias ty,E,High Council of Wizards & Pries,1591,6983,-32,O,0.23763927164959706
xd this es leave psl es and clock,I,CrysTal-汣潤,2395,10288,1088,O,0.39938161916286097
wtf you maxing poison?i,E,vraGG_,2426,10389,1019,O,0.39539122972893725
noob teammate <prev> lol venge <PREV> happy 2-6 person that es good,I,SOEKARNO,1173,5252,1363,O,0.34669419844786553
commned guys:d <prev> wp <PREV> a virgins in team raging much get laid faggors,E,Blaze420og,2479,10630,1124,O,0.4215794484660637
dota will be an olympics sport by 2o2o <prev> unlike mvp so shit <PREV> mineski will be there korea gg dota gg,E,West Street Variety,2333,9981,-5,O,0.27975233836592683
shup up plz <prev> :-) <PREV> ayy lmao,I,Buzenbazen,2354,10128,2257,O,0.2145289120520268
sad bot bot pa haha <prev> wjahaha creap <PREV> creep? u died in less than e secs u russian pleb,E,Adlet Mayer,2413,10362,2923,O,0.4321360483095814
y can end if u want <prev> you defending lol we want but how <PREV> this pa so kid,E,Kuy Her,2834,11995,2254,O,0.5266690994807257
report clinkz please <prev> repor clinkz plz all plz plz <PREV> report these idiots plz ty,E,____Warlord____,1910,8229,2171,A,0.07529720335176782
? xd o fucks given,E,HullCity07,2692,11471,1975,O,0.30939456380950403
"ez <prev> very stupid wk <PREV> and he comes right in, to me",I,KenBeanNet,2136,9179,1899,A,0.3870227613591719
boom <prev> yea <PREV> and pinoy too,E,KSP.HandStand,931,4190,4346,O,0.2621391546985099
ak lol weak just wait,I,mhrj,2139,9190,176,O,0.20293611087460017
lol <prev> gg ggwp <PREV> izi bot,I,toast,245,1030,1718,O,0.49927049616659913
u lost to o i8 invoker,I,The Sound You Need,1276,5659,3041,O,0.3359454080798978
ivi mid sf ill wreck u come at me u pussies,E,BirdPerson,618,2793,2278,O,0.47110917723240636
"we have 2 supports, u have i <prev> you hardly won the offlane <PREV> did you buy an account?",I,PhantomX8,1504,6658,1712,O,0.43987471910132114
andrea cavada here <prev> ahahha <PREV> oh shit am said her name,E,typical average,497,2185,-31,O,0.4918377700334312
haha nice try tho <prev> wp <PREV> sad razor haha pudge and mirana cant hit shit,E,Ninja Boo,808,3653,2108,O,0.4527378377969584
erro computer <prev> please wait e min <PREV> got no time for that shit,E,Solane,503,2235,2278,A,0.19735939790258333
yeah bro <prev> ill get you back bitch <PREV> report wr please very nobss,E,HR.X!!,2480,10640,2829,A,0.4193685961253584
ure good invoker hope u enjoy 6k <prev> he did only 2compos in refresher unskilled <PREV> nice joke mate,E,Adlet Mayer,2413,10362,3022,O,0.2738523790992694
wr? <prev> you still noob <PREV> haha mad?,I,Jen Snow,1054,4745,1694,O,0.4159582802375159
2k gold lol <prev> 2k kunkka lol <PREV> ooh holy shit he has e crit silly kunka oh,E,Ruben6f,3031,12864,1874,O,0.540567957818845
worth it,I,1q_devil,235,978,209,O,0.47155335187073244
"sorry about a <prev> a <PREV> oh well, ez sb at least",I,Axosh,182,760,2502,O,0.5804747770218853
great eo min afk for me pls i need to jurkoff <prev> i have to sleep soon <PREV> e min? anough to masturbate kapa,E,Cyrax,2731,11653,-56,A,0.06096621549009488
penis too short,E,whix,2812,11938,681,O,0.4779894649107225
them n odust no wrrou <prev> gg <PREV> good job this 2 fuckerclink n invoker always no dust,E,LocK~♥~,1066,4817,3420,O,0.4214145645314989
easiest pl ever ffs,I,aFrog,333,1420,1857,O,0.3348359491113598
haha <prev> pause to calm down <PREV> what are you fuckwits going on about,E,iRandom,2041,8763,23,A,0.2698801145923296
lol <prev> yeah <PREV> mid so horrible look that zeus,I,DonTeLLMe,1372,6008,2371,O,0.3470771241337607
lol thanks guys so kind ez coins leave la faster +25o coins +25 mmr thanks mang,I,Cheoklate,32,117,935,A,0.43133014718966306
lol fountain rape,E,newT0n ᴥ™,1367,5988,2598,O,0.46310886821783587
this team <prev> we don care hahaha <PREV> the worst team,E,Dondo,1561,6861,1615,O,0.3547845007688499
retard <prev> pc really? __slur_flag__ <PREV> fuyck wasting time for dumb pc,E,NICEY,1060,4781,737,O,0.3221868284249413
?? ?? ?? ??? kidding ?,I,vulnerablezz™ ツ,2246,9585,296,O,0.15006263032251088
go end i will feed cours top come come top,I,1.23E+11,512,2273,1311,O,0.250914756559335
lol stop waste ur ult,E,EZ :],2252,9608,1337,O,0.4113818990664493
waiting to my hc get items,I,--Tánathos--,2635,11241,2678,O,0.45298565274465874
and then u fed so necro can early dagon <prev> so ezi too ezai <PREV> u were oao :d,I,mims,261,1076,1548,O,0.3883045664505005
cant win nid with shtorm yea cant ult or buy wards mili herto on line <prev> yasha <PREV> stupid caught up,E,#tommmnz,2317,9922,2444,O,0.4870152441746617
uselss pa,I,Ala[n],2090,8959,2680,O,0.39526307911329334
ropfl <PREV> lol my team dog me team to good karam,E,Gazzyy,1099,4934,1603,O,0.45733898211220425
gg 'wp' heh <prev> ggwp <PREV> sorry for being such an asshole my gf left me,E,Yuukikonno Yukiteru,2576,10991,2130,O,0.3628449539943202
she is a carry? i can report <prev> i carry the game with warlock easy 9 min aga i gonna destroy all <PREV> :d youre gonna get your ass destroyed in lp lol,E,Crimson Lotus,71,282,1520,O,0.5336816936146276
"hue hue <prev> gg, please report wk <PREV> who was doing everything he could to ru9n my lane i was telling him what to do and he was doing hte opposite to ruin the game and to piss me off pls report the pathetic noob",E,shefulainen,2411,10343,2870,A,0.5036489679296536
report wr pls pls <PREV> if u dont shut up ill report u,I,4Head,92,347,1319,A,0.2796683056379673
haha tt <prev> please report sf <PREV> still farming that biotch,E,Viral...,2022,8686,1781,A,0.09978142450832668
wait till pnkg l;et him abandon <prev> report scum on huskar <PREV> wait for pink to get abandon then finish pls gg this game sucks anyways who cares,E,psy63,2077,8910,2536,A,0.07736611701577391
haha <prev> plz let us claim + <PREV> +25 i will tell my mom i won against an alche pls la i beg,E,Vhix,1967,8453,3170,O,0.3998805152553526
ez <prev> + <PREV> noobi vi ebanie,E,Eldar+4,1341,5868,2136,O,0.3206633203980189
id like to thank ww <prev> for making silly plays? <PREV> for having shit internet and not tping back,E,Cotton Picker,1383,6061,284,O,0.385934614700243
lmfao <prev> wr is <PREV> not the first time he did that cm trolling,E,→ Daeko ツ,2480,10635,1405,O,0.13177123231793267
u fuken lost,E,Scrotes,685,3094,394,O,0.41433721043437854
fcj,E,ϟwarđ,1896,8184,358,O,0.2743592296642789
thats all you can say now wyvern haha <prev> dont blame team <PREV> good luck going 2k wyvern,I,MTH,2336,10004,2477,O,0.16298720357182778
tech 8-7... you 6-9 <prev> only support realy feal pain ) <PREV> tech lvl ii and he is not a late hero idiot,E,NjinjoNjinja,2711,11556,2186,O,0.3335951628934979
"if u can win this game.. i will call u pro and commend all <prev> people who random in ranked dont deserve anything not even flaming <PREV> cant my fault to loes ,i fuck the safe lane",E,1st surpport of queen st,607,2748,1777,O,0.563518752635993
u guys <prev> even worse <PREV> pudge feeder killing ppl on purpose u will get him in next game probably and it wont be intresting as it seems now so report him,I,Grave Digger,55,206,2029,O,0.3703014292789769
commend that man <PREV> wow. o/9 hes meant to be a pro.,I,???u?op ?p?sdn???,199,843,1542,O,0.421137447978292
what lieslie? lesliei <prev> yo <PREV> oh lol fucking dog lmfao,E,Simple,463,2009,1292,O,0.3935037345560196
fuyckjerfe,E,MiracleJr,532,2399,1057,O,0.2743592296642789
add me on tidner <prev> jiahou xu <PREV> ya fuckwit,E,Saucey,1438,6358,2259,O,0.2432777928024099
private just go <prev> what are we waiting for? is he online? <PREV> check his profile hes noob. so much red.,E,Jassy,2102,9013,-71,O,0.49763004118651577
so? everyone had bad game <prev> im just messing with you its a hard matchup. and no one came to help you <PREV> mad cause bad morph?,E,Flash,1419,6227,512,O,0.4046757301648505
ikr <prev> all report vip plz <PREV> back to ik pa,I,King_Of_Kings,455,1982,1937,A,0.17948663979705617
zues ss <PREV> zz report la,E,Porn ~ Star ( no ~ thing ),1343,5871,1382,A,0.24944676432417132
xd sf <prev> end' <PREV> ur mom boom,E,bneutrality,1451,6424,2094,O,0.4761112937635463
invoker pro kill snierp wihtout dust hey snieper <prev> troll please dont act like my kiddo here <PREV> how manyu time u escape from them? noob,E,LocK~♥~,1066,4817,3363,O,0.4417952017299752
no wonder no fucking wonder but youll lose the game this way guys <prev> report wywern <PREV> rofl trash wants to report me,E,MemEmASTERMignLEE,2915,12341,1287,A,0.309240512461156
so i abandoned? <prev> yeah <PREV> if not then if tyes then ill leave fuck i said pause i always wait for people then no one wait for me ? the fuck ?,E,F.E.A.R,2867,12102,737,A,0.1874630940587304
why does your slardar think dazzle is a bad hero btw? <prev> thwn oraxcle and wim +ioo% to wini <PREV> because he is a bad player,E,Can Gohan,261,1077,1735,O,0.4049716929844995
ez <prev> suicide <PREV> 2 8 invoker  pls report this invoker ill commend all of u,I,JiaHuei's BabyBoy,1011,4526,1505,A,0.2548077780112912
wtf ahahaha ahahaha finish it throne <PREV> commend ty notlikethis,E,MingLee,915,4113,2613,A,0.07637834129910889
? <prev> wait mofoz <PREV> wtf ava,I,Mikasa,2287,9774,3712,A,0.10169050787657637
come gg a morons cant finish what can i do as io,E,reg,1204,5402,1829,O,0.39490368556414585
yeap <prev> dont do it or he might cleave you to death <PREV> hahahaha ez mid for you alche,I,INDONEITOR♥^-^,2552,10930,1897,O,0.2875383539237215
i dont ask that <prev> rip <PREV> worth 5oos,I,November,318,1361,1464,O,0.18439919884242667
go finish im afk <prev> we u say <PREV> go feed ui,I,Mirakuru,892,4024,1782,A,0.17965870428719044
wtf <prev>  <PREV> free mmr,I,ELDONGER®,1942,8347,-34,O,0.4626843585075279
i9/i9 <prev> this ember need your help so bad <PREV> he does i just dont get why these idiots dont listen i tell hi mto buy midas he goes blink,E,soy papá,1501,6628,734,O,0.4084314151065879
hey whered all your creeps go :o <PREV> worth it?,I,Audible Chocolate,80,310,2698,O,0.30246705545545405
gg <prev> fun game <PREV> uselees techies,E,Otaku boy 16,1122,5053,3529,O,0.14211883287761132
end it <PREV> wasting time,E,WASP,2740,11687,940,O,0.10724581768013688
gayi,E,HOWWWWWW?,333,1417,901,O,0.2743592296642789
ok reported kappa <prev> cmon fam <PREV> alright your a i9 year old white guy in his first year of uni ahead,I,Artour,2660,11358,164,A,0.1475821387091628
i have cancer mere minutes to live <prev> ty <PREV> fix youre internet dog,E,Црвена Звезда,2739,11682,1962,O,0.3108123239537301
haha <prev> wbi <PREV> fcking pause la,E,nub-,1167,5237,2197,A,0.2667313754424173
#name? <PREV> aww n oob,E,CLaY,773,3521,2169,O,0.24806284403204948
owned <prev> who talked first? cm alche hahaha <PREV> funny how quiet you are,I,wow/10 :o CAPTAIN SIANG!,2258,9627,1042,O,0.5076319790554613
gg wp <prev> gg wp <PREV> one shit techies then gg,E,Borat,1122,5053,3536,O,0.38020474196339926
vroom vroom <prev> x <PREV> ya later voker dc i by i fuck off,E,NooBitch,2650,11319,24,O,0.45016644235423464
with tiny whisp <prev> its 6o min game <PREV> agaisnt thuis trash doom,E,I am a lion,1417,6225,1546,O,0.29323303581964566
bich mide mider o gang,E,George.Alpha,1412,6196,2129,O,0.34790228015196556
:d <prev> who dont know what he should do <PREV> how is this trash talks o grave,E,I am a lion,1417,6225,1570,O,0.3958553992825779
lag i sec <prev> gg report sf hes booste ofc ur level 5 report sf now ffs <PREV> this is retarded __slur_flag__,E,Knægten,1312,5770,633,A,0.33087979951782154
what now <PREV> wait wtf,E,Jayson,2811,11932,2344,A,0.19619700047046212
hi? <prev> hello <PREV> gg yea noobs,E,"<font face=""ravie"">C O O L",1022,4580,2471,O,0.26085247779186727
stfu))))))))))))) <prev> phone? <PREV> gg bad dire,I,xWinkler,2870,12133,1874,O,0.2370734822422359
no <prev> stop tryharding lina <PREV> russians in a nutshell,E,[DoGe]Lopaha,1975,8499,944,O,0.397652779408761
ez <prev> those who do nothing talk the loudest every time grats on picking e ti heroes that click r <PREV> ez bot,I,no feed please,286,1200,1559,O,0.47768199247057963
recomiendane+ <prev> report legion toxic player <PREV> go play on peru por favor,E,Peruanos = maricones,3021,12826,2339,A,0.22659352159139667
good game well played end ty <prev> shh.. <PREV> not stupid like gyro,E,Kekni$,451,1963,2678,O,0.5091257564442567
lol dzzle op <PREV> team tards,E,Fame,1284,5682,1325,O,0.36117022248630015
gg <PREV> wpwp shitt,E,booZ,1069,4831,3359,O,0.2024778527549282
sell item and go dont end fast lol <prev> hahaha <PREV> sadist,I,Royal Jester,2698,11496,2245,O,0.20955564014237207
2 players won this game cm and ww <prev> ty <PREV> probably talking much shit isnt sh?,E,會意字 ^S3bulon.  сукин,983,4373,2591,O,0.44477291553596987
not again <PREV> sorry you suck atm let me know when youre pro,E,Bobby Shmurda,482,2110,1054,O,0.3249770092737384
9oogold realy? <prev> like i gonna win it now ? <PREV> yes go pick doom all time pick doom use ulti after unn runn run forest run idiot hero,E,jR.,2812,11940,1390,O,0.3392649760210733
w8 dc sf' <prev> pause <PREV> ez sf,I,Try Hard Please!!!,1359,5950,141,A,0.10757137685489376
i would quit after that fight <PREV> y its 2k wk he doesnt understand that np,I,Lurgo,121,468,2362,O,0.37985282444691093
gg <prev> zz <PREV> noobick,E,Tree Stump,1711,7447,3295,O,0.151993699491684
he said he recon <prev> ahahaha hahahhahhaha <PREV> i smell pussy,E,zxc1,1669,7274,2050,A,0.35209515520732876
did you know that pinoys have the shortest penis in sea,E,kyaa_.NUS,1972,8482,2192,O,0.39042435510489226
eziest,E,ZaDuV,2266,9664,2119,O,0.5233942851670801
commend pls :p my map so fucking dark even bat man cant see :( wk didnt ward for us sad planned ? <prev> lol <PREV> tiny u so funny ahaha,I,siti aminah,2249,9595,1914,O,0.5628339038807129
29 mins dag <prev> no rampage <PREV> stfu lion he good,E,.mikeroland,1505,6668,1882,O,0.425208522164481
yes <prev> report wk and medusa <PREV> yeah u and ur motherless bullshit,E,papa,439,1875,635,A,0.12007829921969512
gg <prev> gg <PREV> report doom ez game 6va,I,El Comandante,1098,4929,3022,A,0.2670994631115612
...... when he doesnt get it <prev> gl hf <PREV> omg stop fucking lion,E,Hollywood,813,3663,-59,O,0.3577932323273303
mr i io <prev> wow fucken do something useful eio <PREV> lol no one care chat to all what a funny cunt __slur_flag__,E,BOS,1557,6827,2498,O,0.4641024035067099
pls dont defend ok now we at roshan pls end <PREV> ez,I,Parasite.KEY,2531,10862,2250,A,0.5252535637206744
in tusks ass wew online lies <prev> no chill no chill fam <PREV> nah he got stuck so he should restart comp,E,Thineline,1648,7215,2029,O,0.3172056132193338
and u? 6-ia <prev> coz he made you fat thats why lobby? <PREV> rofl ivi?,E,MID LANE SLAYER,126,488,2114,O,0.20682326921339422
yes <prev> its not even alchs fault <PREV> bought acc,I,DKV,2490,10690,770,O,0.3222678172200216
duza lose man <prev> why you mid <PREV> dusa the profesional farmer,I,|R| Whatsaaaa,2932,12425,2408,O,0.14766878485556562
worth it?) <PREV> ),E,~YteNoK~,2272,9706,2057,O,0.27143276583686826
lol <prev> wp sick jukes <PREV> woah iio alch,I,alstony,1252,5579,2013,O,0.35500191389267066
good game. <prev> commend me ty :) <PREV> shit techies,E,DANK NUG,1277,5669,2416,A,0.20042233052271172
next century when noi plays this game <prev> rofl 6k players useless not on my level <PREV> that game guys can you shut up a fw,E,Grup,482,2114,2381,O,0.44760680629834715
"grill stop it <prev> on no pls no pls the lich no finally i die <PREV> gg wp w/e, this fucking team",E,Quetzal,745,3416,2344,O,0.42966949062010634
bulsshit,E,*Kenz-Wars*,1669,7271,994,O,0.2743592296642789
y <prev> dd <PREV> report fkng riki picker,E,2D NYASHA,2175,9310,901,A,0.10121285190034009
lagg ^^ <prev> ah ok <PREV> your son is the villain in fallout a your final choice is to kill him or nuke the commonwealth,I,NeighbourJim,313,1338,-54,O,0.3513350828487313
